job_title,company,job_location,job_skills,job_link,cluster,nome_cluster,score_similaridade,score_percentual,ranking,categoria_compatibilidade,id_usuario,nome,titulo_postagem
Java; Big Data; SRE Engineer,"The Dignify Solutions, LLC","St Paul, MN","Java, Big Data, REST, API development",https://www.linkedin.com/jobs/view/java-big-data-sre-engineer-at-the-dignify-solutions-llc-3768004890,2,Data / BI / Analytics,0.43074778870538827,43.07,4,Moderadamente compatível,2,Bruno,API REST para controle de tarefas
Specialist,GSBOA,"Sunnyvale, CA","Automated API tests, API functionality testing, API reliability testing, API performance testing, Manual testing",https://www.linkedin.com/jobs/view/specialist-at-gsboa-3784789475,5,Educação / Treinamento,0.30717678231901946,30.72,3,Pouco compatível,2,Bruno,API REST para controle de tarefas
Engenheiro de Produo-Gerente Operacional,Seleção Engenharia,"Alabama, United States","production management, team leadership, productivity monitoring, engineering, computer skills, cre, production engineering",https://www.linkedin.com/jobs/view/engenheiro-de-produo-gerente-operacional-at-sele%C3%A7%C3%A3o-engenharia-3790231774,5,Educação / Treinamento,0.2993528716262448,29.94,3,Pouco compatível,2,Bruno,API REST para controle de tarefas
Java Architects,Ekodus,"Denver, CO","Java, REST API, AWS, GraphQL, Leadership skills, Architecture skills, Software development experience, Schema design, Caching site, Subscription site, ApolloQL, Java based technologies",https://www.linkedin.com/jobs/view/java-architects-at-ekodus-3675769428,2,Data / BI / Analytics,0.2891789120680282,28.92,3,Pouco compatível,2,Bruno,API REST para controle de tarefas
Specialist,GSBOA,"Sunnyvale, CA","API testing, Automated testing, Load testing, Performance testing, Unit testing",https://www.linkedin.com/jobs/view/specialist-at-gsboa-3744505349,5,Educação / Treinamento,0.28576927061411556,28.58,3,Pouco compatível,2,Bruno,API REST para controle de tarefas
Lead Java Fullstack Developer,KRG Technologies Inc.,"Mississauga, Ontario, Canada","Java, Springboot, Microservices, Angular, JavaScript, CSS, J2EE, Spring, REST API, Devops, Cloud, Junit",https://ca.linkedin.com/jobs/view/lead-java-fullstack-developer-at-krg-technologies-inc-3804376477,5,Educação / Treinamento,0.28258609403720786,28.26,3,Pouco compatível,2,Bruno,API REST para controle de tarefas
Technical Business Analyst,GOSOL,"Melbourne, Victoria, Australia","API management, API strategy, API standards, API integrations, Data analysis, Strategic decisionmaking, Requirement analysis, Software development, Documentation, Risk assessment, Stakeholder engagement, Communication, Leadership, Project management, Business transformation, Digital transformation, Technology transformation",https://au.linkedin.com/jobs/view/technical-business-analyst-at-gosol-3702303862,2,Data / BI / Analytics,0.22933042782877763,22.93,2,Muito pouco compatível,2,Bruno,API REST para controle de tarefas
Gestoría de Permisos Temporal,HEINEKEN MÉXICO,"Reynosa, Tamaulipas, Mexico","Microsoft Office, Ley Estatal y Reglamentos Municipales de Operación Mercantil, Uso de suelo, Gestión de permisos de alcohol, Trámite de multas clausuras ampliaciones e inspecciones de municipio, Integración de expedientes, Comunicación y negociación, Licencia de conducir, Manejo de vehículo estándar, Experiencia en trámites ante dependencias, Conocimiento de la Ley Estatal y Reglamentos Municipales de Operación Mercantil",https://mx.linkedin.com/jobs/view/gestor%C3%ADa-de-permisos-temporal-at-heineken-m%C3%A9xico-3795104297,5,Educação / Treinamento,0.2282419021281184,22.82,2,Muito pouco compatível,2,Bruno,API REST para controle de tarefas
Level 4/Senior Developer Analyst-THPS - Canada,Zortech Solutions,"Toronto, Ontario, Canada","Agile, API Development, API Design, API Gateway, API Platform, Apache Kafka, Bachelor's Degree, Blueprint Documents, Bootstrap, Camel, Computer Science, Data Consolidation, Dev Ops, Detail Design Documents, GWT, HL7 Integration, Health Information Science, Integration Planning, JavaScript, Kong, Kubernetes, Monitoring Tools, Node.js, OpenShift, Portal, REST API, Spring, Splunk, System Analysis, System Design, System Modelling, Technology Selection",https://ca.linkedin.com/jobs/view/level-4-senior-developer-analyst-thps-canada-at-zortech-solutions-3716002445,2,Data / BI / Analytics,0.22650847899855886,22.65,2,Muito pouco compatível,2,Bruno,API REST para controle de tarefas
Medico General,TAO Talent Acquisition,"Hermosillo, Sonora, Mexico","Medicine, Healthcare, Medical consultation, Wound care, Injections, Blood pressure measurement, Medical records, Electronic health records, Electronic signature, Productivity bonuses, Fully equipped office, Personal protective equipment, Sanitization measures, Training, Health insurance, Annual bonus, Vacation time, Quality service bonus, Advanced electronic system",https://mx.linkedin.com/jobs/view/medico-general-at-tao-talent-acquisition-3802311579,5,Educação / Treinamento,0.22032593902205252,22.03,2,Muito pouco compatível,2,Bruno,API REST para controle de tarefas
Diseñador Grafico,NewCity Medical Plaza,"Tijuana, Baja California, Mexico","Visual concept development, Materials production, Interdisciplinary collaboration, Time management, Continuous improvement, Creativity, Technical knowledge, Effective communication, Adaptability, Superior degree, Expert level experience, Graphic design, Art, Design, Creative, Visual elements, Visual strategy, Visual identity, Visual coherence, Graphic materials, Digital materials, Print materials, Marketing teams, Communications teams, Sales teams, Deadlines, Deliverables, Design trends, Technologies, Tools, Innovation, Digital media, Print media, English classes, Opportunity to continue studies",https://mx.linkedin.com/jobs/view/dise%C3%B1ador-grafico-at-newcity-medical-plaza-3804498683,5,Educação / Treinamento,0.3572528855717514,35.73,3,Pouco compatível,3,Carla,Plano de marketing para pequena empresa
Engenheiro de Produo-Gerente Operacional,Seleção Engenharia,"Alabama, United States","production management, team leadership, productivity monitoring, engineering, computer skills, cre, production engineering",https://www.linkedin.com/jobs/view/engenheiro-de-produo-gerente-operacional-at-sele%C3%A7%C3%A3o-engenharia-3790231774,5,Educação / Treinamento,0.30409726281172583,30.41,3,Pouco compatível,3,Carla,Plano de marketing para pequena empresa
Digital Marketing and Analytics Officer - Hybrid,Forward Role Recruitment,"Warrington, England, United Kingdom","Digital Marketing, Analytics, Google Analytics, CMS systems (Kentico), CRM, PPC, Aggregators, SEO principles, Strong communication skills, Attention to detail, Passion for marketing, Teamwork, Positivity, Continuous learning",https://uk.linkedin.com/jobs/view/digital-marketing-and-analytics-officer-hybrid-at-forward-role-recruitment-3802605107,2,Data / BI / Analytics,0.28008321659591084,28.01,3,Pouco compatível,3,Carla,Plano de marketing para pequena empresa
Digital Marketing Executive,Get Recruited,"London, England, United Kingdom","Digital Marketing, Social Media Marketing, Ecommerce Management, Copywriting, Event Management, Microsoft Office, Adobe Photoshop, Adobe Illustrator, Adobe InDesign, PPC, SEO",https://uk.linkedin.com/jobs/view/digital-marketing-executive-at-get-recruited-3799953901,3,Marketing / Conteúdo / Vendas,0.2754912727190665,27.55,3,Pouco compatível,3,Carla,Plano de marketing para pequena empresa
Digital Content Executive,Page Personnel,"Woking, England, United Kingdom","Digital Marketing, Marketing Strategy, Marketing Campaigns, Content Creation, Social Media Management, Market Research, Trade Shows, Previous Marketing Experience, Social Media Experience, DetailOriented, Driver's License",https://uk.linkedin.com/jobs/view/digital-content-executive-at-page-personnel-3675004648,5,Educação / Treinamento,0.2512741158744872,25.13,3,Pouco compatível,3,Carla,Plano de marketing para pequena empresa
Digital Marketing Executive,Career Legal,"City of London, England, United Kingdom","Marketing Strategy, Digital Marketing Campaigns, Brand Awareness, Social Media Monitoring, Website Content Management, Digital Marketing Initiatives, User Behavior Analysis, Google Analytics, WordPress, SEO, PPC, Campaign Content Production, Website Architecture, User Experience Tracking, Outstanding people management, Communication skills, Experience with partners",https://uk.linkedin.com/jobs/view/digital-marketing-executive-at-career-legal-3681010674,2,Data / BI / Analytics,0.24542809410401542,24.54,2,Muito pouco compatível,3,Carla,Plano de marketing para pequena empresa
Gestoría de Permisos Temporal,HEINEKEN MÉXICO,"Reynosa, Tamaulipas, Mexico","Microsoft Office, Ley Estatal y Reglamentos Municipales de Operación Mercantil, Uso de suelo, Gestión de permisos de alcohol, Trámite de multas clausuras ampliaciones e inspecciones de municipio, Integración de expedientes, Comunicación y negociación, Licencia de conducir, Manejo de vehículo estándar, Experiencia en trámites ante dependencias, Conocimiento de la Ley Estatal y Reglamentos Municipales de Operación Mercantil",https://mx.linkedin.com/jobs/view/gestor%C3%ADa-de-permisos-temporal-at-heineken-m%C3%A9xico-3795104297,5,Educação / Treinamento,0.2430394036566281,24.3,2,Muito pouco compatível,3,Carla,Plano de marketing para pequena empresa
Medico General,TAO Talent Acquisition,"Hermosillo, Sonora, Mexico","Medicine, Healthcare, Medical consultation, Wound care, Injections, Blood pressure measurement, Medical records, Electronic health records, Electronic signature, Productivity bonuses, Fully equipped office, Personal protective equipment, Sanitization measures, Training, Health insurance, Annual bonus, Vacation time, Quality service bonus, Advanced electronic system",https://mx.linkedin.com/jobs/view/medico-general-at-tao-talent-acquisition-3802311579,5,Educação / Treinamento,0.23729824017971796,23.73,2,Muito pouco compatível,3,Carla,Plano de marketing para pequena empresa
Digital Marketing Manager,Digital Waffle,"Nottingham, England, United Kingdom","Digital Marketing, SEO, Paid Advertising, CRM, Email Marketing, SMS Marketing, Print Marketing, Social Media Advertising, Facebook, Instagram, Twitter, Pinterest, TikTok, LinkedIn, CRO, Copywriting, Attention to Detail, Organisational Skills, Prioritisation, Motivation, Drive, Enthusiasm, Pressure Handling",https://uk.linkedin.com/jobs/view/digital-marketing-manager-at-digital-waffle-3798640509,3,Marketing / Conteúdo / Vendas,0.2360703036115289,23.61,2,Muito pouco compatível,3,Carla,Plano de marketing para pequena empresa
Capitan de mesero de banquetes,NewCity Medical Plaza,"Tijuana, Baja California, Mexico","Leadership, Conversational English, Excellent attitude, Proven experience, Excellent presentation, Empathy, Customer service, Hospitality",https://mx.linkedin.com/jobs/view/capitan-de-mesero-de-banquetes-at-newcity-medical-plaza-3778956891,5,Educação / Treinamento,0.2360390302502105,23.6,2,Muito pouco compatível,3,Carla,Plano de marketing para pequena empresa
Principal Machine Learning Scientist,X4 Life Sciences,"New York, United States","Machine learning, Cheminformatics, Predictive modeling, Toxicity, ADMET, Data preprocessing, Feature engineering, Chemical datasets, Virtual screening, Drug discovery, Integration, Collaboration, Communication, Python, TensorFlow, Problemsolving, Multidisciplinary, Programming",https://www.linkedin.com/jobs/view/principal-machine-learning-scientist-at-x4-life-sciences-3805407099,2,Data / BI / Analytics,0.33496327766506506,33.5,3,Pouco compatível,4,Diego,Modelo de machine learning para previsão de notas
Lead Engineer - Machine Learning - World Renowned AI Company - Remote Work,CryptoRecruit,"San Francisco, CA","Machine Learning, Artificial Intelligence, Python, Tensorflow, PyTorch, Scikitlearn, Deep Learning, Neural Networks, Cloud Computing, AWS, GCP, Azure, ProblemSolving, Critical Thinking, Communication",https://www.linkedin.com/jobs/view/lead-engineer-machine-learning-world-renowned-ai-company-remote-work-at-cryptorecruit-3785358853,2,Data / BI / Analytics,0.323831336163899,32.38,3,Pouco compatível,4,Diego,Modelo de machine learning para previsão de notas
Senior Machine Learning Engineer - AI,Recruiting from Scratch,"Providence, RI","Machine Learning Model Development, Data Preparation, Feature Engineering, Algorithm Selection, Model Evaluation, Deployment, Monitoring and Maintenance, Python, TensorFlow, PyTorch, Deep Learning, Data Manipulation, Feature Engineering, Model Deployment, Containerization, Orchestration, Docker, Kubernetes, Computer Science, Machine Learning, Artificial Intelligence",https://www.linkedin.com/jobs/view/senior-machine-learning-engineer-ai-at-recruiting-from-scratch-3744395689,2,Data / BI / Analytics,0.31895305768389137,31.9,3,Pouco compatível,4,Diego,Modelo de machine learning para previsão de notas
Engenheiro de Produo-Gerente Operacional,Seleção Engenharia,"Alabama, United States","production management, team leadership, productivity monitoring, engineering, computer skills, cre, production engineering",https://www.linkedin.com/jobs/view/engenheiro-de-produo-gerente-operacional-at-sele%C3%A7%C3%A3o-engenharia-3790231774,5,Educação / Treinamento,0.3173726271289494,31.74,3,Pouco compatível,4,Diego,Modelo de machine learning para previsão de notas
Data Scientist,iTech Solutions,"San Jose, CA","Data Science, Statistical Modeling, Machine Learning, Python, Statistics, Business Acumen, Data Analysis, Problem Solving, Critical Thinking, Communication, 10+ Years of Experience",https://www.linkedin.com/jobs/view/data-scientist-at-itech-solutions-3714398515,2,Data / BI / Analytics,0.30698654888567045,30.7,3,Pouco compatível,4,Diego,Modelo de machine learning para previsão de notas
Senior Machine Learning Engineer - AI,Recruiting from Scratch,"Miami, FL","Machine Learning, Data Preparation, Feature Engineering, Algorithm Selection, Model Evaluation, Deployment, Monitoring and Maintenance, Bachelor's Degree, 5 Years Experience, Programming Languages, TensorFlow, PyTorch, Deep Learning, Data Manipulation, Preprocessing, Model Deployment, Docker, Kubernetes",https://www.linkedin.com/jobs/view/senior-machine-learning-engineer-ai-at-recruiting-from-scratch-3744393175,2,Data / BI / Analytics,0.30046713878921344,30.05,3,Pouco compatível,4,Diego,Modelo de machine learning para previsão de notas
Data Scientist (USA),Trexquant Investment LP,"Stamford, CT","Data analysis, Data parsing, Data visualization, Machine learning, Quantitative strategies, Data sources management, Pattern recognition, Derived variables, Statistical analysis, Linux, Bash, Python, SQL, Collaborative environment, Decisionmaking, Leadership, Healthcare, Insurance",https://www.linkedin.com/jobs/view/data-scientist-usa-at-trexquant-investment-lp-3590312323,2,Data / BI / Analytics,0.28687951880469614,28.69,3,Pouco compatível,4,Diego,Modelo de machine learning para previsão de notas
Embedded Systems Lead,Advanced Technology Search,"Lehigh County, PA","Embedded Systems Engineer, Embedded/Firmware, C/C++, Python, System architecture, FPGA, PCB, Hardware",https://www.linkedin.com/jobs/view/embedded-systems-lead-at-advanced-technology-search-3805277065,2,Data / BI / Analytics,0.2747234154694225,27.47,3,Pouco compatível,4,Diego,Modelo de machine learning para previsão de notas
Data Analyst,Adame Services LLC,"Elk Grove, CA","Tableau, SQL, Visualizations, Machine Learning (Optional)",https://www.linkedin.com/jobs/view/data-analyst-at-adame-services-llc-3676687484,5,Educação / Treinamento,0.2729926896394418,27.3,3,Pouco compatível,4,Diego,Modelo de machine learning para previsão de notas
Senior Speech Recognition Engineer,Gridspace,"Los Angeles, CA","Neural Speech Recognition Architectures, ASR, Machine Learning, NLP, Natural Language Processing, Statistical Modeling, Software Engineering, Data Augmentation, Deployment, Productionization, Systems Programming, Linguistics, Acoustics, Signal Processing, Youtube, Gridspace",https://www.linkedin.com/jobs/view/senior-speech-recognition-engineer-at-gridspace-3394476046,2,Data / BI / Analytics,0.2580906840019013,25.81,3,Pouco compatível,4,Diego,Modelo de machine learning para previsão de notas
Senior UI/UX Designer and Developer,TekIntegral,"Brooklyn, NY","UI/UX Design, HTML, CSS, JavaScript, jQuery, Adobe XD, Sketch, InVision, User Research, Journey Maps, Personas, Prototyping, Frontend Development, Responsive Web Design, WCAG 2.0, HumanCentered Design, MVC, Design Patterns",https://www.linkedin.com/jobs/view/senior-ui-ux-designer-and-developer-at-tekintegral-3757821561,2,Data / BI / Analytics,0.46587556912508626,46.59,4,Moderadamente compatível,5,Elisa,Protótipo de aplicativo educacional
UX Designer (Mid-level),Global Information Technology,"Southfield, MI","UX design, UI design, User research, Content strategy, Engineering, Project management, Collaboration, Communication, Storytelling, Data analysis, Sketching, Wireframing, Prototyping, Documentation, Teamwork, Cooperation, Partnerships, Figma, Sketch, Rally",https://www.linkedin.com/jobs/view/ux-designer-mid-level-at-global-information-technology-3716487497,2,Data / BI / Analytics,0.4320308153949852,43.2,4,Moderadamente compatível,5,Elisa,Protótipo de aplicativo educacional
UI/UX Designer,UNIS,"Buena Park, CA","UI/UX Design, Web Design, Mobile Design, UserCentered Design, Wireframing, Prototyping, Visual Design, Sketch, Figma, Adobe XD, Invision, Data Visualization, Dashboard Design, Webflow, Tailwind CSS, AI Tools, Midjourney, Stable Diffsion, Chat GPT, AutoGPT, BabyAGI, Design Systems, Figma, Logistics, Supply Chain Management, Supply Chain Systems, Collaboration, Communication",https://www.linkedin.com/jobs/view/ui-ux-designer-at-unis-3794992429,2,Data / BI / Analytics,0.3836097411757299,38.36,3,Pouco compatível,5,Elisa,Protótipo de aplicativo educacional
Product Designer -,TekIntegral,"Plano, TX","UI Design, Visual Design, Commerce, Portfolio, Content Strategy, Content Design, UX Writing, User Interfaces, Desktop, Cloud Services, Mobile, Figma, Sketch, InVision",https://www.linkedin.com/jobs/view/product-designer-at-tekintegral-3692191831,2,Data / BI / Analytics,0.3671240167872326,36.71,3,Pouco compatível,5,Elisa,Protótipo de aplicativo educacional
Volunteer: UX | UI DESIGNER NEEDED FOR NEW LIVE-LEARNING PLATFORM!,8Billionminds,"London, England, United Kingdom","UX/UI design, Web design, Frontend development, Backend development, Software development, Agile methodology, Scrum, Kanban, Git, GitHub, Jira, Trello, Asana, Slack, Google Suite, Microsoft Office, Teamwork, Communication skills, Problemsolving skills, Critical thinking skills, Creativity, Innovation, Motivation, Passion for education, Commitment to social change",https://uk.linkedin.com/jobs/view/volunteer-ux-ui-designer-needed-for-new-live-learning-platform%21-at-8billionminds-3803990557,5,Educação / Treinamento,0.355547303976275,35.55,3,Pouco compatível,5,Elisa,Protótipo de aplicativo educacional
UX Designer (NY-Onsite),SoftHQ Inc,"Bethpage, NY","UX Design, Web application, Mobile application, Video services/streaming, 10foot user interface, 10+ years of experience",https://www.linkedin.com/jobs/view/ux-designer-ny-onsite-at-softhq-inc-3795888387,5,Educação / Treinamento,0.3256362907923623,32.56,3,Pouco compatível,5,Elisa,Protótipo de aplicativo educacional
Senior OSS Developer,TechStar Group,"Tampa, FL","Fiber, 5G, Layer 2, Layer 3, IP, Network Elements, Network Service Delivery, Activation, Capacity Management, Customer Service Provisioning, Design and assign, Network and Equipment Inventory, Topology, Network Configuration, Java, Azure, ServiceNow, Orchestration, Workflow, TM Forum APIs, DevOps, Agile, UI Development, UX Development, HTML, Angular, React",https://www.linkedin.com/jobs/view/senior-oss-developer-at-techstar-group-3787886394,2,Data / BI / Analytics,0.32131169560193273,32.13,3,Pouco compatível,5,Elisa,Protótipo de aplicativo educacional
Graphic Designer 3 (17987-1,"Systemart, LLC","Bellingham, WA","Interaction Design, Visual Design, Graphic Design, UX (User Experience), Figma, Microsoft (MSFT), Digital UX tools, MWF, Azure, Design systems, Crossdisciplinary design team, Customer journey innovation, Presentation skills, Communication skills, Creativity, Problemsolving skills, Adobe publishing and graphics software, UI Design, Cloud marketing web pages, UX standards, Design platforms, Design system, Prototyping, User goals, UX guidelines, Feedback, Critique, Project goals, Experience strategy, Collaboration, Web Marketing, Frontend development, Backend development",https://www.linkedin.com/jobs/view/graphic-designer-3-17987-1-at-systemart-llc-3793800504,2,Data / BI / Analytics,0.30535305480543884,30.54,3,Pouco compatível,5,Elisa,Protótipo de aplicativo educacional
UX Front End Designer,Procom,"Edmonton, Alberta, Canada","Frontend design, UI/UX design, Prototyping, Wireframing, Design patterns, Style guides, Accessibility, Agile methodology, Sprint planning, Sprint review, Demos, Retrospectives, Usability testing, Crossfunctional teams, Component libraries, Design systems",https://ca.linkedin.com/jobs/view/ux-front-end-designer-at-procom-3790410089,2,Data / BI / Analytics,0.3008316969973256,30.08,3,Pouco compatível,5,Elisa,Protótipo de aplicativo educacional
UX Designer,Innovative Defense Technologies (IDT),"Mount Laurel, NJ","UX Design, Figma, FigJam, Enterpriselevel applications, Design System, User stories, Acceptance criteria, Design artifacts, Application architecture, Feature sets, User Interface (UI), User Experience (UX), Adobe XD/Illustrator, Sketch, Accessibility guidelines, Agile software development processes, Jira, Git, Human factors, Humancentered design, Industrial design, Cognitive psychology, Iconography, Typography, Problemsolving, Verbal communication, Written communication, Independent work, Teamwork, Analytical abilities, Ownership, Urgency, Drive",https://www.linkedin.com/jobs/view/ux-designer-at-innovative-defense-technologies-idt-3715195172,2,Data / BI / Analytics,0.2962678404712704,29.63,3,Pouco compatível,5,Elisa,Protótipo de aplicativo educacional
Java; Big Data; SRE Engineer,"The Dignify Solutions, LLC","St Paul, MN","Java, Big Data, REST, API development",https://www.linkedin.com/jobs/view/java-big-data-sre-engineer-at-the-dignify-solutions-llc-3768004890,2,Data / BI / Analytics,0.5175807449756112,51.76,4,Moderadamente compatível,6,Felipe,Sistema CRUD em Java
Java/C# Developer,Accroid Inc,"Portland, OR","Java, C#, Swing, Zebra SDK, HID printer SDK, Software development, Design, Coding, Testing, Debugging, Smartcards, Credit card readers",https://www.linkedin.com/jobs/view/java-c%23-developer%C2%A0-at-accroid-inc-3788123891,2,Data / BI / Analytics,0.4308283283269003,43.08,4,Moderadamente compatível,6,Felipe,Sistema CRUD em Java
Lead Java Fullstack Developer,KRG Technologies Inc.,"Mississauga, Ontario, Canada","Java, Springboot, Microservices, Angular, JavaScript, CSS, J2EE, Spring, REST API, Devops, Cloud, Junit",https://ca.linkedin.com/jobs/view/lead-java-fullstack-developer-at-krg-technologies-inc-3804376477,5,Educação / Treinamento,0.4222023027045845,42.22,4,Moderadamente compatível,6,Felipe,Sistema CRUD em Java
Java full stack developer-MI/NC,iTech Solutions,"Southfield, MI","Java, SQL, Spring, Hibernate, Java 8, ORM, SOAP, RESTful web services, Agile, JMeter, Ant, Maven, Gradle, npm, Webpack, Gulp, Bower, Git, Jenkins, LESS, Production support, Troubleshooting, Project development, Testing lifecycle",https://www.linkedin.com/jobs/view/java-full-stack-developer-mi-nc-at-itech-solutions-3714394703,2,Data / BI / Analytics,0.3948723687544342,39.49,3,Pouco compatível,6,Felipe,Sistema CRUD em Java
Java Lead Developer,"Sunrise Systems, Inc.","Los Angeles, CA","Java, Spring Framework, Healthcare Domain, Leadership, Communication Skills, Teamwork, Organization Skills, Java Lead Developer",https://www.linkedin.com/jobs/view/java-lead-developer-at-sunrise-systems-inc-3647000273,5,Educação / Treinamento,0.36207178449410654,36.21,3,Pouco compatível,6,Felipe,Sistema CRUD em Java
IntelliJ SDK Engineer,VeeAR Projects Inc.,"Austin, TX","Intellij plugin development, JetBrains plugin SDK, Java, Kotlin, Swing, JetBrains/Intellij Plugins SDK, Code Completion/Suggestions, Best coding practices, JetBrains Family of IDE's internal architecture",https://www.linkedin.com/jobs/view/intellij-sdk-engineer-at-veear-projects-inc-3741390334,2,Data / BI / Analytics,0.34863931306696094,34.86,3,Pouco compatível,6,Felipe,Sistema CRUD em Java
Angular4 Developer,Vodastra Technologies,"Columbus, OH","Angular4, SQL Server, Java EE, JAX RS, SpringBoot, Maven",https://www.linkedin.com/jobs/view/angular4-developer-at-vodastra-technologies-3788047054,5,Educação / Treinamento,0.34503941002669125,34.5,3,Pouco compatível,6,Felipe,Sistema CRUD em Java
Java Full stack Developer w/d strong Angular Exp,"Donato Technologies, Inc.","Jersey City, NJ","Java, Angular (Version 14 or above), HTML, CSS, JavaScript, TypeScript, Angular Core Concepts, rxjs, AgGrid, Angular Material, Karma, Jasmine, Java Fundamentals, Spring Boot, Microservices, GIT, Sourcetree/TortoizeGit, Agile Fundaments, JIRA",https://www.linkedin.com/jobs/view/java-full-stack-developer-w-d-strong-angular-exp-at-donato-technologies-inc-3707615128,5,Educação / Treinamento,0.3152654426662103,31.53,3,Pouco compatível,6,Felipe,Sistema CRUD em Java
